num_meta,num_user,genres,rating,url,game_title,metacritic_score,user_score,release_date
12,20,"Action, General",M,http://www.metacritic.com/game/switch/attack-on-titan-2,Attack on Titan 2 (Switch),71,8.3,"Mar 20, 2018"
10,5,"Strategy, Turn-Based, Tactics",NA,http://www.metacritic.com/game/pc/attack-of-the-earthlings,Attack of the Earthlings (PC),71,6.4,"Feb 8, 2018"
17,34,"Action, General, Platformer, 2D",E,http://www.metacritic.com/game/switch/dandara,Dandara (Switch),71,7.7,"Feb 6, 2018"
7,31,"Action, Third-Person, Shooter, Arcade, Action Adventure, Survival",T,http://www.metacritic.com/game/pc/h1z1,H1Z1 (PC),71,4.2,"Feb 28, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/playstation-4/the-fall-part-2-unbound,The Fall Part 2: Unbound (PS4),71,NA,"Feb 13, 2018"
25,22,"Action Adventure, General",T,http://www.metacritic.com/game/pc/crossing-souls,Crossing Souls (PC),71,6.1,"Feb 13, 2018"
8,14,"Action Adventure, General",T,http://www.metacritic.com/game/playstation-4/cold-iron,Cold Iron (PS4),71,7.7,"Jan 30, 2018"
28,34,"Action Adventure, Open-World",M,http://www.metacritic.com/game/playstation-4/assassins-creed-rogue-remastered,Assassin's Creed Rogue Remastered (PS4),71,6.1,"Mar 20, 2018"
8,8,"Strategy, Turn-Based, Tactics",NA,http://www.metacritic.com/game/switch/mercenaries-saga-chronicles,Mercenaries Saga Chronicles (Switch),70,7.4,"Feb 8, 2018"
52,50,"Action, General",E,http://www.metacritic.com/game/playstation-4/fe,Fe (PS4),70,6.9,"Feb 16, 2018"
8,4,"Action, Arcade",E,http://www.metacritic.com/game/switch/stikbold!-a-dodgeball-adventure-deluxe,Stikbold! A Dodgeball Adventure Deluxe (Switch),70,5.8,"Jan 4, 2018"
8,5,"Action, General, Platformer, 2D",NA,http://www.metacritic.com/game/pc/dandara,Dandara (PC),70,6.2,"Feb 6, 2018"
10,279,"Historic, Action Adventure, Survival",NA,http://www.metacritic.com/game/pc/rust,Rust (PC),70,6,"Feb 8, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/switch/bridge-constructor-portal,Bridge Constructor Portal (Switch),70,NA,"Feb 28, 2018"
10,13,"Simulation, Virtual, Career",E,http://www.metacritic.com/game/pc/pure-farming-2018,Pure Farming 2018 (PC),70,7.5,"Mar 13, 2018"
29,22,"Action, General",E,http://www.metacritic.com/game/xbox-one/fe,Fe (XONE),70,7.9,"Feb 16, 2018"
26,25,"Miscellaneous, Party / Minigame",E,http://www.metacritic.com/game/playstation-4/frantics,Frantics (PS4),70,7.9,"Mar 6, 2018"
